stateCode,districtName,policeStationName,contactNumber,email
WB,Purba Bardhaman,Kenda (phanri) police station,0341-2667432,
WB,Purba Bardhaman,Keshabganj (phanri) police station,0342-2556601,
WB,Purba Bardhaman,Coke Oven police station,0343-2555060 /  9474039894,cokeovenps@gmail.com
WB,Purba Bardhaman,Kalyanpur (phanri) police station,0341-2253323,
WB,Purba Bardhaman,Galsi police station,0342-2450238 / 9083269924,galsips@gmail.com
WB,Purba Bardhaman,Khandoghosh police station,03451-262260 / 9083269930,khandaghoshpsbwn@gmail.com
WB,Purba Bardhaman,Jamalpur police station,03451-288225 / 9083269928,jamalpurpsbdn@gmail.com
WB,Purba Bardhaman,Jamuria police station,0341-2455440 / 9474039894,psjamuria@gmail.com
WB,Purba Bardhaman,Jhingri Moholla police station,0341-2202746,
WB,Purba Bardhaman,Talpukur (phanri) police station,0341-2202287,
WB,Purba Bardhaman,Durgapur Newtown police station,0343-2556993,
WB,Purba Bardhaman,Durgapur police station,0343-2564081 /  8116604428,durgapurps@gmail.com
WB,Purba Bardhaman,Durgapur-Faridpur police station,0343-2545085,
WB,Purba Bardhaman,Nutanganj (phanri) police station,0342-2531780,
WB,Purba Bardhaman,Purbasthali police station,03454-264500 /  9083269921,purbasthalips@gmail.com
WB,Purba Bardhaman,Pandabeswar police station,0341-2677336 /  8116604424,pandabeswarps@gmail.com
WB,Purba Bardhaman,Chaittaranjan police station,0341-2525368,
WB,Purba Bardhaman,Barabazar (phanri) police station,0342-2668764,
WB,Purba Bardhaman,Burdwan Sadar police station,0342-2664466/2664467 /  9083269919,bwnps@gmail.com
WB,Purba Bardhaman,Budbud police station,0343-2512257,
WB,Purba Bardhaman,Birhata (phanri) police station,0342-2568769,
WB,Purba Bardhaman,Barabani police station,0341-2272268 / 9434027819,barabonips@gmail.com
WB,Purba Bardhaman,Guskara (phanri) police station,03452-255135,
WB,Purba Bardhaman,Bhatar police station,0342-2322223 /  9083269929,bwnbhatarps@gmail.com
WB,Purba Bardhaman,Monteswar police station,0342-275523 / 9083269936,psmonteswar@gmail.com
WB,Purba Bardhaman,Mongolkote police station,03453-266228 / 9083269934,mongalkoteps@gmail.com
WB,Purba Bardhaman,Muradpur (phanri) police station,0342-2569197,
WB,Purba Bardhaman,Memari police station,0342-2250232/2260600 / 9083269927,psmemari@gmail.com
WB,Purba Bardhaman,Raniganj police station,0341-2444230 / 9434113843,raniganjps@gmail.com
WB,Purba Bardhaman,Raina police station,03451-280230 /  9083269932,rainapsbdn@gmail.com
WB,Purba Bardhaman,Madhabdihi police station,03451-251230 / 9083269931,madhabdihipolicestation@gmail.com
WB,Purba Bardhaman,Loudaha police station,0341-2670866,
WB,Purba Bardhaman,Salanpur police station,0341-2531118,
WB,Purba Bardhaman,Sripur (phanri) police station,0341-2201440,
WB,Purba Bardhaman,Rupnarayanpur (phanri) police station,0341-2531260,
WB,Purba Bardhaman,Hirapur police station,0341-2231547/2230247 / 8116604417,hirapurps@gmail.com
WB,Purba Bardhaman,Women PS Burdwan,0342-2569372 | 9083269923,
WB,Birbhum,Sadaipur,3462220291 /  9083269819,
WB,Purba Bardhaman,Nadanghat PS,03454-266100 | 9083269937,psnadanghat@gmail.com
WB,Birbhum,Khayrasole,3462240250 /  9083269824,
WB,Birbhum,Md.Bazar,3462244228 / 9083269821,
WB,Birbhum,Kankartala,3462240250 /  9083269828,
WB,Birbhum,Illambazar,3463275221 /  9083269820,
WB,Birbhum,Panrui,3462272233 /  9083269831,
WB,Birbhum,Nalhati,3463266236 /  9083269827,
WB,Birbhum,Rajnagar,03462278226  /  9083269823,
WB,Birbhum,Nanoor,3463241357 /  9083269825,
WB,Birbhum,Bolpur,3463252228 /  9083269815,
WB,Birbhum,Rampurhat,3461255100 /  9083269816,
WB,Birbhum,Suri,3462255578 /  9083269814,spbirbhum@policewb.gov.in
WB,Birbhum,Margram,3461265255 /  9083269829,
WB,Birbhum,Mayureswar,3462242232/  9083269830,
WB,Birbhum,Murarai,3465252236 /  9083269832,
WB,Birbhum,Dubrajpur,3462244228 /  9083269822,
WB,Birbhum,Sainthia,3462260226 /  9083269818,
WB,Birbhum,Labpur,3463266236 / 9083269826,
WB,Birbhum,Suri Women PS,3462255521 / 9083269817,
WB,Birbhum,Lokpur,0 /  9083269833,
WB,Birbhum,Chandrapur,3462274208 /  9083269834,
WB,Birbhum,Tarapith,3461253277 /  9083269836,
WB,Birbhum,Mallarpur,3461262600 /  9051665888,
WB,Cooch Behar,Kotwali,03582 - 228100,spdibcbr@gmail.com
WB,Cooch Behar,Tufanganj,03582 - 244230,
WB,Cooch Behar,Boxirhat,03582 - 263630,
WB,Cooch Behar,Dinhata,03581 - 255004,
WB,Cooch Behar,Sitai,03583 - 245230,
WB,Cooch Behar,Sitalkuchi,03583 - 263240,
WB,Cooch Behar,Mekhliganj,03584 - 255224,
WB,Cooch Behar,Mathabhanga,03583 - 255233,
WB,Cooch Behar,Kuchlibari,03584 - 251223,
WB,Cooch Behar,Haldibari,03561 - 263239,
WB,Cooch Behar,Ghokshadanga,03583 - 262233,
WB,Cooch Behar,Women PS,03582 - 222054,
WB,Cooch Behar,Sahebganj,,
WB,Cooch Behar,Pundibari,,
WB,Darjeeling,Sadar PS,0354-2254422,sadarpsdjgwb@gmail.com
WB,Birbhum,Santiniketan,3463253102 / 9083269835,
WB,Darjeeling,Jorebunglow PS,0354-2274343,
WB,Darjeeling,Pulbazar PS,0354-2260226,
WB,Darjeeling,Sukhiapokhri PS,0354-2264270,
WB,Darjeeling,Mirik PS,0354-2243226,
WB,Darjeeling,Kurseong PS,0354-2330222,kurseongps@gmail.com
WB,Darjeeling,Kalimpong PS,03552-255268,
WB,Darjeeling,Gorubathan PS,03552-222013,
WB,Darjeeling,Jaldhaka PS,03552-265225,
WB,Darjeeling,Pradhannagar PS,0353-2510046,pdnpsspc@gmail.com
WB,Darjeeling,Siliguri PS,0353-2420101,siliguripolicestationsmp@gmail.com
WB,Darjeeling,Bagdogra PS,0353-2551242,dipanjan_slg@yahoo.co.in
WB,Darjeeling,Matigara PS,0353-2571472,psmatigara@wbpolice.gov.in
WB,Darjeeling,Phansidewa PS,0353-2587361,ocphansidewa@gmail.com
WB,Darjeeling,Naxalbari PS,0353-2488615,
WB,Purba Medinipur,Bhagabanpur Police Station,9.5322E+11,sppurbamedinipur@gmail.com
WB,Purba Medinipur,Bhawanipur Police Station,9.53224E+12,hotakrishnendu@gmail.com
WB,Purba Medinipur,Chandipur Police Station,9.53228E+11,chandipurps@gmail.com
WB,Purba Medinipur,Bhupatinagar Police Station,9.5322E+11,cibhupatinagar@gmail.com
WB,Purba Medinipur,Contai Police Station,9.5322E+11,
WB,Purba Medinipur,Dhgha Police Station,9.5322E+11,o.cdighaps@gmail.com
WB,Purba Medinipur,Durgachak Police Station,9.53224E+11,
WB,Purba Medinipur,Egra Police Station,9.5322E+11,ciegra@gmail.com
WB,Purba Medinipur,Haldia Police Station,9.53224E+12,
WB,Purba Medinipur,Henria Police Station,9.5322E+11,
WB,Purba Medinipur,Khejuri Police Station,9.5322E+11,
WB,Purba Medinipur,Kolaghat Police Station,9.53228E+11,
WB,Darjeeling,Women PS,0353-2663885,womenpssiliguri@gmail.com
WB,Purba Medinipur,Mahishadal Police Station,9.53224E+11,
WB,Purba Medinipur,Marishda Police Station,9.5322E+11,mahishadalps@gmail.com
WB,Purba Medinipur,Moyna Police Station,9.53228E+11,ocmarishdaps@gmail.com
WB,Purba Medinipur,Nandakumar Police Station,9.53228E+11,ajay-krm@gmail.com
WB,Purba Medinipur,Nandigram Police Station,9.53224E+11,psnandigram@gmail.com
WB,Darjeeling,Khoribari PS,0353-2554227,
WB,Purba Medinipur,Panskura Police Station,9.53228E+11,
WB,Purba Medinipur,Pataspur Police Station,9.5322E+11,ptpps.emdp@gmail.com
WB,Purba Medinipur,Ramnaagar Police Station,9.5322E+11,ramnagarpolicestation@gmail.com
WB,Purba Medinipur,Riapara Police Station,9.53224E+11,
WB,Hooghly,CHINSURAH,2680-4743,sphooghly-wb@nic.in
WB,Purba Medinipur,Sutahata Police Station,9.53224E+11,ocsutahata2014@gmail.com
WB,Hooghly,MOGRA,2684-6778,
WB,Hooghly,POLBA,03213-225729,
WB,Purba Medinipur,Tamluk Police Station,9.53228E+11,
WB,Hooghly,DHANIAKHALI,03213-255255,
WB,Hooghly,PANDUA,03213-266064,
WB,Hooghly,CHANDNNAGORE,2683-5340,
WB,Hooghly,BHADRESWAR,2633-4561,
WB,Hooghly,SINGUR,2630-1001,
WB,Hooghly,DADPUR,03213-252201,
WB,Hooghly,HARIPAL,03212-242268,
WB,Hooghly,BALAGARH,03213-260290,
WB,Hooghly,TARAKESWAR,03212-276252,
WB,Hooghly,ARAMBAGH,03211-255047,
WB,Hooghly,PURSURAH,03212-255064,
WB,Hooghly,GOGHAT,03211-222335,
WB,Hooghly,KHANAKUL,03211-266225,
WB,Hooghly,UTTARPARA,2663-6278,
WB,Hooghly,SERAMPORE,2652-1200,
WB,Hooghly,DANKUNI,2659-4720,
WB,Hooghly,CHANDITALA,03212-260230,
WB,Hooghly,GURAP,03213-232482,
WB,Hooghly,BANDEL POLICE FARI,2631 4952,
WB,Hooghly,CHINSURAH MAHILA THANA,2680 2241,
WB,Hooghly,SERAMPORE MAHILA THANA,2662 2238,
WB,Hooghly,ARAMBAGH MAHILA THANA,9830355880,
WB,Howrah,Amta Police Station,9.53214E+11,dcrbrural@gmail.com
WB,Howrah,Bagnan Police Station,9.53214E+11,
WB,Hooghly,RISHRA,2672-6666,
WB,Hooghly,JANGIPARA,03212-259220,
WB,Howrah,Bally Police Station,26541128/0771,
WB,Howrah,Bantra Police Station,26431009,
WB,Howrah,Bauria Police Station,26618272,
WB,Howrah,Dasnagar Police Station,26531260,
WB,Howrah,Domjur Police Station,"26700208, 28777092",
WB,Howrah,Golabari Police Station,26663515/2156,
WB,Howrah,Howrah Police Station,26602950 / 26610261,
WB,Howrah,Liluah Police Station,26458047,
WB,Howrah,Malipanchghara Police Station,26555952/4777,
WB,Howrah,Najeergunj Police Station,26886830,
WB,Howrah,Panchla Police Station,9.53214E+11,
WB,Howrah,Sankaril Police Station,26790200,
WB,Howrah,Shibpur Police Station,26601528/1028,
WB,Howrah,Shyampur Police Station,9.53214E+11,
WB,Howrah,Jagacha Police Station,26602950,
WB,Howrah,Udaynarayanpur Police Station,9.53214E+11,
WB,Howrah,Uluberia Police Station,26610261,
WB,Jalpaiguri,Alipurduar PS,03564-255100,spjpgwb@gmail.com
WB,Jalpaiguri,Kotwali PS,03561 - 228551,
WB,Jalpaiguri,Rajganj PS,03561 - 254231,
WB,Jalpaiguri,Dhupguri PS,03563 - 250040,
WB,Jalpaiguri,Maynaguri PS,03561 - 233032,
WB,Jalpaiguri,Banarhat PS,03563 - 252063,
WB,Jalpaiguri,Women PS,03561 - 224516,
WB,Jalpaiguri,Mal Bazar PS,03562 - 255002,
WB,Jalpaiguri,Nagrakata PS,03565 - 272002,
WB,Jalpaiguri,Meteli PS,03562 - 242201,
WB,Jalpaiguri,Jalapaiguri sadar PS,03561-228042,
WB,Jalpaiguri,Kumargram PS,03564-252224,
WB,Jalpaiguri,Madarihat PS,03563-262223,
WB,Jhargram,Jhargram PS,03221-255002,"dcrbjhargram@gmail.com,dtjhargra"
WB,Jhargram,Gopiballavpur PS,03221-266202,m@wbpolice.gov.in
WB,Howrah,Jagatballavpur Police Station,9.53214E+11,
WB,Jhargram,Binpur PS,03221-260202,
WB,Jhargram,Jamboni PS,03221-265322,
WB,Jhargram,Sankrail PS,03223-265237,
WB,Jhargram,Belpahari PS,03221-253202,
WB,Jhargram,Beliabera PS,03221-261202,
WB,Jhargram,Nayagram PS,03223-267209,
WB,Jhargram,Women PS,7797179179,
WB,Kolkata,Alipore Police Station,2479-1021 / 2408-0100 /2479-0028,
WB,Kolkata,Amherst Street Police Station,2350-6670 / 2360-5714  / 2360-5100,
WB,Kolkata,Ballygunge Police Station,2454-3179  / 2454-2100 / 2475-5931,
WB,Kolkata,Beliaghata Police Station,2350-0970  / 2363-1100 / 2363-3358,
WB,Kolkata,Beniapukur Police Station,2284-4770  / 2284-0100 / 2286-5999,
WB,Kolkata,Bhowanipur Police Station,2455-8092 / 2454-1100 /2486-2711,
WB,Kolkata,Bowbazar Police Station,2211-4813  / 2215-5100 / 2211-4814,
WB,Kolkata,Burrabazar Police Station,2268-7554  / 2268-0100 / 2268-3802,
WB,Kolkata,Burtolla Police Station,2555-7599 / 2533-6100 / 2533-5579,
WB,Kolkata,Charu Market Police Station,2424-9900 / 2424-5100 / 2424-5983,
WB,Kolkata,Chetla Police Station,2448-6642 / 2409-9119 / 2479-0023,
WB,Kolkata,Chitpur Police Station,2556-6141 / 2543-4100 / 2532-9086,
WB,Kolkata,Cossipore Police Station,2556-6434 / 2543-2100  / 2532-9149,
WB,Kolkata,Ekbalpur Police Station,2449-2135 / 2409-9100 / 2449-4167,
WB,Kolkata,Entally Police Station,2227-5892 /2284-8100 / 2227-6668,
WB,Kolkata,Garden Reach Police Station,2469-6569 / 2408-1100 / 2489-3272,
WB,Kolkata,Hare Street Police Station,2211-8760 /2215-0100 / 2211-8761,
WB,Kolkata,Hastings Police Station,2223-0716 / 2243-0100 / 2223-4548,
WB,Kolkata,Jorabagan Police Station,2218-4094 / 2270-0100  / 2270-0428,
WB,Kolkata,Gariahat Police Station,2486-3702 /2486-3703 / 2461-3667,
WB,Kolkata,Kalighat Police Station,2454-0177 / 2455-0100 / 2486-2618,
WB,Kolkata,Karaya Police Station,2287-1715 / 2281-1100 / 2289-3825,
WB,Kolkata,Lake Police Station,2429-2353 / 2409-7100 / 2429-6294,
WB,Kolkata,Girish Park Police Station,2219-8041 /2219-9100 /2257-1177,
WB,Kolkata,Maidan Police Station,2223-2462 / 2248-0100 / 2223-4551,
WB,Kolkata,Manicktala Police Station,2360-5681 / 2360-6100 / 2360-8126,
WB,Kolkata,Muchipara Police Station,2227-8430 / 2283-7100 / 2227-6445,
WB,Kolkata,Narkeldanga Police Station,2360-5710 / 2352-0100 / 2360-8187,
WB,Kolkata,New Alipore Police Station,2400-2943 / 2409-5100 / 2400-8745,
WB,Kolkata,New Market Police Station,2217-7397 / 2283-6100 / 2227-6436,
WB,Kolkata,North Port Police Station,2243-1183 / 2243-1100 / 2231-8361,
WB,Kolkata,Park Street Police Station,2226-8321 / 2283-2100 / 2227-6437,
WB,Kolkata,Posta Police Station,2259-5606 / 2259-1100 / 2259-5536,
WB,Kolkata,Phool Bagan Police Station,2320-0920 / 2321-5100 / 2320-0585,
WB,Kolkata,Shakespeare Sarani Police Station,2281-2541 / 2281-7100 / 2289-3693,
WB,Kolkata,Sinthi Police Station,2532-5383 / 2530-0853 / 2532-9072,
WB,Kolkata,Shyampukur Police Station,2555-7585 / 2533-2100 / 2533-5606,
WB,Kolkata,South Port Police Station,2459-3226 / 2409-4100 / 2459-8818,
WB,Kolkata,Tala Police Station,2530-0850 / 2546-4901 / 2532-9087,
WB,Kolkata,Taltala Police Station,2227-7784 / 2284-4100 / 2227-6491,
WB,Kolkata,Jorasanko Police Station,2269-7279 / 2218-0100 / 2268-3076,
WB,Kolkata,Tangra Police Station,2329-6769 / 2283-1100 / 2329-7565,
WB,Kolkata,Taratala Police Station,2401-1881 / 2409-2100 / 2401-2796,
WB,Kolkata,Tollygunge Police Station,2464-2765 / 2465-4100 / 2463-2803,
WB,Kolkata,Topsia Police Station,2281-4268 / 2280-4100 / 2289-3682,
WB,Kolkata,Ultadanga Police Station,2356-6263 / 2356-6264 / 2356-6444,
WB,Kolkata,Watgunge Police Station,2459-3298 / 2408-2100 / 2459-8819,
WB,Kolkata,West Port Police Station,2439-3617 / 2409-6100 / 2439-2454,
WB,Kalimpong,Garubathan PS,03552 - 222013,
WB,Malda,Baisnabnagar PS,03512 - 204282,maldasp@gmail.com
WB,Malda,Kaliachak PS,03512 - 244310,
WB,Malda,English Bazar PS,03512 - 252071,
WB,Malda,Manikchak PS,03512 - 272333,
WB,Malda,Habibpur PS,03511 - 252664,
WB,Malda,Malda PS,03512 - 260222,
WB,Malda,Bamongola PS,03511 - 265555,
WB,Malda,Gazole PS,03512 - 235327,
WB,Malda,Ratua PS,03513 - 266222,
WB,Malda,Harishchandrapur PS,03513 - 255215,
WB,Malda,Chanchal PS,03513 - 252256,
WB,Kalimpong,Kalimpong PS,03552 - 255268,ajeets399@gmail.com
WB,Kalimpong,Jaldhaka PS,03552 - 265225,
WB,Malda,Pukhuria PS.,03512 - 286211,
WB,Malda,Mothabari PS,03512-248655,
WB,Malda,Rathbari PS,03512-266223,
WB,Murshidabad,Beldanga,03482-264100,spmurshidabad@gmail.com
WB,Murshidabad,Berhampore,03482-251145,
WB,Murshidabad,Bhagawangola,03483-259224,
WB,Murshidabad,Bharatpur,03484-225002,
WB,Malda,Gopalaganj PS,03512-242600,
WB,Murshidabad,Burwan,03484-271051,
WB,Murshidabad,Doulatabad,03481-232027,
WB,Murshidabad,Domkal,03481-230242,
WB,Murshidabad,Farakka,03485-253242,
WB,Malda,Bhutni PS.,-,
WB,Malda,English Bazar Women PS,03512 - 220398,
WB,Murshidabad,Jiagunge,03483-255224,
WB,Murshidabad,Kandi,03484-255451,
WB,Murshidabad,Khargram,03484-260045,
WB,Murshidabad,Hariharpara,03482-230229,
WB,Murshidabad,Lalgola,03483-274244,
WB,Murshidabad,Murshidabad (Lalbag),03482-270221,
WB,Murshidabad,Isalampore,03481-236360,
WB,Murshidabad,Nabagram,03483-270036,
WB,Murshidabad,Jalangi,03481-235053,
WB,Murshidabad,Nowda,03482-247238,
WB,Murshidabad,Raghunathgunj,03483-266100,
WB,Murshidabad,Rejinagar,03482-241239,
WB,Murshidabad,Sagardighi,03483-268041,
WB,Murshidabad,Salar,03484-273048,
WB,Murshidabad,Samshergunj,03485-265240,
WB,Murshidabad,Raninagar,03481-238038,
WB,Murshidabad,Suti,03485-262460,
WB,Nadia,Chakdaha,03473-242022,
WB,Nadia,Chapra,03474-270223,spnadiawb@gmail.com
WB,Murshidabad,Ranitala,03483-242244,
WB,Nadia,Dhantala,03473-266022,
WB,Nadia,Coopers Camp O.P.,03473-210142,
WB,Nadia,Gangnapur,03473-268101,
WB,Nadia,Dhubulia,03472-261211,
WB,Nadia,Ghurni TOP,03472-227307,
WB,Nadia,Gorai TOP,03472-252864,
WB,Nadia,Hanskhali,03473-272212,
WB,Nadia,Haringhata,03473-233331,
WB,Nadia,Kalyani,25828100,
WB,Nadia,Karimpur,03471-255137,
WB,Nadia,Hogolberia,03471-273083,
WB,Nadia,Kaliganj,03474-260313,
WB,Nadia,Krishnanagar TOP,03472-252993,
WB,Nadia,Mayapur Police Camp,03472-245240,
WB,Nadia,Mohanpur I.C.,03473-278300,
WB,Nadia,Murutia,03471-275244,
WB,Nadia,Nabadwip,03472-240404,
WB,Nadia,Nakashipara,03474-255351,
WB,Nadia,Krishnanagar (Kotwali),03472-252914/252835,
WB,Nadia,Ranaghat,03473-210022,
WB,Nadia,Santipur,03472-278030,
WB,Nadia,Ranaghat TOP,03473-210053,
WB,Nadia,Krishnaganj,03472-276217,
WB,Nadia,Taherpur,03473-261373,
WB,Nadia,Tehatta,03471-250221,
WB,Nadia,Thanapara,03471-261249,
WB,North 24 Parganas,Ashlknagar,03216-221290,
WB,North 24 Parganas,Baduria,03217-238454,
WB,North 24 Parganas,Airport,2511-8292,spnorth24parganas@gmail.com
WB,North 24 Parganas,Baguhati,2559-8799,
WB,North 24 Parganas,Bagdah,03215-264234,
WB,North 24 Parganas,Baranagar,2531-9300,
WB,North 24 Parganas,Barasat,2552-3543,
WB,North 24 Parganas,Barrackpore,2592-0023,
WB,North 24 Parganas,Amdanga,03216-260050,
WB,North 24 Parganas,Basirhat,03217-268334,
WB,North 24 Parganas,Bidhannagar (North),2337-3343,
WB,North 24 Parganas,Bidhannagar (South),2335-1047,
WB,North 24 Parganas,Bijpur,2585-9100,
WB,North 24 Parganas,Bongaon,033215-256900,
WB,North 24 Parganas,Deganga,03216-242235,
WB,North 24 Parganas,Dum Dum,2551-4167,
WB,North 24 Parganas,Bidhannagar (East),2359-0849,
WB,North 24 Parganas,Dum Dum O.P.,2549-9375,
WB,North 24 Parganas,Gaighata,03215-252223,
WB,North 24 Parganas,Ghola,2565-8562,
WB,North 24 Parganas,Gobardanga O.P.,03216-249450,
WB,North 24 Parganas,Gopalnagar,03215-260232,
WB,North 24 Parganas,Belgharia,2553-1717,
WB,North 24 Parganas,Habra,03216-237100,
WB,North 24 Parganas,Haroa,03217-248226,
WB,North 24 Parganas,Hasnabad,03217-234480,
WB,North 24 Parganas,Jagaddal,2581-2980,
WB,North 24 Parganas,Hingalganj,03217-251242,
WB,North 24 Parganas,Lake Town,2534-4402/0239,
WB,North 24 Parganas,Khardha,2553-2859,
WB,North 24 Parganas,Madhyamgram I. C.,2538-3294,
WB,North 24 Parganas,Kamarhati O.P.,2553-1096,
WB,North 24 Parganas,New Town,2324-1266,
WB,North 24 Parganas,Nimta,2539-3536,
WB,North 24 Parganas,Noapara,2561-5017,
WB,North 24 Parganas,"NSCBI, Airport",2511-1899,
WB,North 24 Parganas,Rajarhat,2573-3289,
WB,North 24 Parganas,Sandeshkhali,03217-204022,
WB,North 24 Parganas,Minakhan,03217-260104,
WB,North 24 Parganas,Titagarh,2501-1024,
WB,North 24 Parganas,Swarupnagar,03217-253419,
WB,North 24 Parganas,Naihati,2581-2389,
WB,Uttar Dinajpur,Chopra,03526-263102,
WB,Uttar Dinajpur,Chakulia,03525-258102,spudwb718@gmail.com
WB,Uttar Dinajpur,Dalkhola OP,03525-257888,
WB,Uttar Dinajpur,Goalpokhar,03526-260104,
WB,Uttar Dinajpur,Hemtabad,03523-221260,
WB,Uttar Dinajpur,Islampur,03526-255004,
WB,Uttar Dinajpur,Itahar,03523-277144,
WB,Uttar Dinajpur,Karandighi,03525-252256,
WB,Uttar Dinajpur,Raiganj,03523-252337,
WB,Uttar Dinajpur,Panjipara OP,3526266238,
WB,Purulia,Adra I. C.,03251-244251,sppla7@gmail.com
WB,Uttar Dinajpur,Kaliganj,03523-258060,
WB,Purulia,Bagmundi,03252-250240,
WB,Purulia,Balarampur,03252-244221,
WB,Purulia,Bandwan,03253-257262,
WB,Purulia,Barabazar,03253-258235,
WB,Purulia,Boro,03253-252235,
WB,Purulia,Hura,03252-240229,
WB,Purulia,Arsha,03252-201190,puruliasp@gmail.com
WB,Uttar Dinajpur,Kanki OP,03525-254165,
WB,Purulia,Jhalda,03254-255233,
WB,Purulia,Joypur,03254-252234,
WB,Purulia,Kashipur,03251-246222,
WB,Purulia,Kenda,03252-202430/284279,
WB,Purulia,Kotshila,03254-260565,
WB,Purulia,Manbazar,03253-255237,
WB,Purulia,Neturia,03251-252340,
WB,Purulia,Para,03251-266330,
WB,Purulia,Purulia (Rural),03252-223205,
WB,Purulia,Raghunathpur,03251-255231,
WB,Purulia,Purulia Town,03252-223202,
WB,Purulia,Santaldih,03251-260235,
WB,South 24 Parganas,Baishnabghata -Patuli I.C.,2462-6515,sps24pgs@gmail.com
WB,South 24 Parganas,Baruipur,2433-8222,
WB,South 24 Parganas,Basanti,03218-232238,
WB,South 24 Parganas,Behala,2478-7350/2457-2969,
WB,South 24 Parganas,Battala O.P.,2469-5431,
WB,South 24 Parganas,Bhangar,03218-270490,
WB,South 24 Parganas,Bishnupur,2470-9245,
WB,South 24 Parganas,Budge Budge,2482-1215,
WB,South 24 Parganas,Canning,03218-255221,
WB,South 24 Parganas,Diamond Harbour,03174-255223,
WB,South 24 Parganas,Dhulahat,03174-232100,
WB,South 24 Parganas,Falta,03174-225100,
WB,South 24 Parganas,Gosaba,03218-236511,
WB,Purulia,Puncha,03253-259236,
WB,South 24 Parganas,Jadavpur,2473-0146/4150,
WB,South 24 Parganas,Joynagar,03218-220203,
WB,South 24 Parganas,Kakdwip,03210-255020,
WB,South 24 Parganas,Kasba,2442-0164/2441-1592,
WB,South 24 Parganas,Kasipur,03218-275500,
WB,South 24 Parganas,Kulpi,03174-266222,
WB,South 24 Parganas,Kolkata Leather Complex,03218-278500,
WB,South 24 Parganas,Kultali,03218-215018,
WB,South 24 Parganas,Magrahat,03174-252244,
WB,South 24 Parganas,Mahestola,2490-6437,
WB,South 24 Parganas,Mandirbazar,03174-260470,
WB,South 24 Parganas,Mathurapur,03218-224501,
WB,South 24 Parganas,Metiabruj,2469-5317,
WB,South 24 Parganas,Nadial,2489-4079,
WB,South 24 Parganas,Pathar Pratima,03210-267211,
WB,South 24 Parganas,Purba Jadavpur,2426-7345/0322,
WB,South 24 Parganas,Rabindranagar,2491-3394/2491-4337,
