"Slno","SectionNo","Type","Title"
"211","185","IPC","Illegal purchase or bid for property offered for sale by authority of public servant"
"212","186","IPC","Obstructing public servant in discharge of public functions"
"213","187","IPC","Omission to assist public servant when bound by law to give assistance"
"214","188","IPC","Disobedience to order duly promulgated by public servant"
"215","189","IPC","Threat of injury to public servant"
"216","190","IPC","Threat of injury to induce person to refrain from applying for protection to public servant"
"217","191","IPC","Giving false evidence"
"218","192","IPC","Fabricating false evidence"
"219","193","IPC","Punishment for false evidence"
"220","194","IPC","Giving or fabricating false evidence with intent to procure conviction of capital offence"
"221","195","IPC","Giving or fabricating false evidence with intent to procure conviction of offence punishable with imprisonment for life or imprisonment"
"222","195A ","IPC",""
"223","196","IPC","Using evidence known to be false"
"224","197","IPC","Issuing or signing false certificate"
"225","198","IPC","Using as true a certificate known to be false"
"226","199","IPC","False statement made in declaration which is by law receivable as evidence"
"227","200","IPC","Using as true such declaration knowing it to be false"
"228","201","IPC","Causing disappearance of evidence of offence, or giving false information to screen offender"
"229","202","IPC","Intentional omission to give information of offence by person bound to inform"
"230","203","IPC","Giving false information respecting an offence committed"
"231","204","IPC","Destruction of document to prevent its production as evidence"
"232","205","IPC","False personation for purpose of act or proceeding in suit or prosecution"
"233","206","IPC","Fraudulent removal or concealment of property to prevent its seizure as forfeited or in execution"
"234","207","IPC","Fraudulent claim to property to prevent its seizure as forfeited or in execution"
"235","208","IPC","Fraudulently suffering decree for sum not due"
"236","209","IPC","Dishonestly making false claim in Court"
"237","210","IPC","Fraudulently obtaining decree for sum not due"
"238","211","IPC","False charge of offence made with intent to injure"
"239","212","IPC","Harboring offender"
"240","213","IPC","Taking gift, etc., to screen an offender from punishment"
"241","214","IPC","Offering gift or restoration of property in consideration of screening offender"
"242","215","IPC","Taking gift to help to recover stolen property, etc"
"243","216","IPC","Harboring offender who has escaped from custody or whose apprehension has been ordered"
"244","216A ","IPC","Penalty for harboring robbers or dacoits"
"245","216B ","IPC","[Definition of harbor in sections 212, 216 and 216A: Repealed by the Indian Penal Code (Amendment) Act, 1942 (8 of 1942)]"
"246","217","IPC","Public servant disobeying direction of law with intent to save person from punishment or property from forfeiture"
"247","218","IPC","Public servant framing incorrect record or writing with intent to save person from punishment or property from forfeiture"
"248","219","IPC","Public servant in judicial proceeding corruptly making report, etc., contrary to law"
"249","220","IPC","Commitment for trial or confinement by person having authority who knows that he is acting contrary to law"
"250","221","IPC","Intentional omission to apprehend on the part of public servant bound to apprehend"
"251","222","IPC","Intentional omission to apprehend on the part of public servant bound to apprehend person under sentence or lawfully committed"
"252","223","IPC","Escape from confinement or custody negligently suffered by public servant"
"253","224","IPC","Resistance or obstruction by a person to his lawful apprehension"
"254","225","IPC","Resistance or obstruction to lawful apprehension of another person"
"255","225A ","IPC","Omission to apprehend, or sufferance of escape, on part of public servant, in cases not otherwise, provided for"
"256","225B ","IPC","Resistance or obstruction to lawful apprehension, or escape or rescue in cases not otherwise provided for"
"257","226","IPC","[Unlawful return from transportation: Repealed by the Code of Criminal Procedure (Amendment) Act, 1995, w.e.f. 1st. January, 1956]"
"258","227","IPC","Violation of condition of remission of punishment"
"259","228","IPC","Intentional insult or interruption to public servant sitting in judicial proceeding"
"260","228A ","IPC","Disclosure of identity of the victim of certain offences etc"
"261","229","IPC","Personation of a juror or assessor"
"262","229A ","IPC",""
"263","230","IPC","Coin defined"
"264","231","IPC","Counterfeiting coin"
"265","232","IPC","Counterfeiting Indian coin"
"266","233","IPC","Making or selling instrument for counterfeiting coin"
"267","234","IPC","Making or selling instrument for counterfeiting Indian coin"
"268","235","IPC","Possession of instrument, or material for the purpose of using the same for counterfeiting coin"
"269","236","IPC","Abetting in India the counterfeiting out of India of coin"
"270","237","IPC","Import or export of counterfeit coin"
"271","238","IPC","Import or export of counterfeits of the India coin"
"272","239","IPC","Delivery of coin, possessed with knowledge that it is counterfeit"
"273","240","IPC","Delivery of Indian coin, possessed with knowledge that it is counterfeit"
"274","241","IPC","Delivery of coin as genuine, which, when first possessed, the deliverer did not know to be counterfeit"
"275","242","IPC","Possession of counterfeit coin by person who knew it to be counterfeit when he became possessed thereof-"
"276","243","IPC","Possession of Indian coin by person who knew it to be counterfeit when he became possessed thereof"
"277","244","IPC","Person employed in mint causing coin to be of different weight or composition from that fixed by law"
"278","245","IPC","Unlawfully taking coining instrument from mint"
"279","246","IPC","Fraudulently or dishonestly diminishing weight or altering composition of coin"
"280","247","IPC","Fraudulently or dishonestly diminishing weight or altering composition of Indian coin"
"281","248","IPC","Altering appearance of coin with intent that it shall pass as coin of different description"
"282","249","IPC","Altering appearance of Indian coin with intent that it shall pass as coin of different description"
"283","250","IPC","Delivery of coin, possessed with knowledge that it is altered"
"284","251","IPC","Delivery of Indian coin, possessed with knowledge that it is altered"
"285","252","IPC","Possession of coin by person who knew it to be altered when he became possessed thereof-"
"286","253","IPC","Possession of Indian coin by person who knew it to be altered when he became possessed thereof-"
"287","254","IPC","Delivery of coin as genuine, which, when first possessed, the deliverer did not know to be altered"
"288","255","IPC","Counterfeiting Government stamp"
"289","256","IPC","Having possession of instrument or material for counterfeiting Government stamp"
"290","257","IPC","Making or selling instrument for counterfeiting Government stamp"
"291","258","IPC","Sale of counterfeit Government stamp"
"292","259","IPC","Having possession of counterfeit Government stamp"
"293","260","IPC","Using as genuine a Government stamp known to be a counterfeit"
"294","261","IPC","Effacing, writing from substance bearing Government stamp, or removing from document a stamp used for it, with intent to cause loss to Government"
"295","262","IPC","Using Government stamp known to have been before used"
"296","263","IPC","Erasure of mark denoting that stamp has been used"
"297","263A ","IPC","Prohibition of fictitious stamps"
"298","264","IPC","Fraudulent use of false instrument for weighing"
"299","265","IPC","Fraudulent use of false weight or measure"
"300","266","IPC","Being in possession of false weight or measure"
"301","267","IPC","Making or selling false weight or measure"
"302","268","IPC","Public nuisance Public nuisance"
"303","269","IPC","Negligent act likely to spread infection of disease dangerous to life"
"304","270","IPC","Malignant act likely to spread infection of disease dangerous to life"
"305","271","IPC","Disobedience to quarantine rule"
"306","272","IPC","Adulteration of food or drink intended for sale"
"307","273","IPC","Sale of noxious food or drink"
"308","274","IPC","Adulteration of drugs"
"309","275","IPC","Sale of adulterated drugs"
"310","276","IPC","Sale of drug as a different drug or preparation"
"311","277","IPC","Fouling water of public spring or reservoir"
"312","278","IPC","Making atmosphere noxious to health"
"313","279","IPC","Rash driving or riding on a public way"
"314","280","IPC","Rash navigation of vessel"
"315","281","IPC","Exhibition of false light, mark or buoy"
"316","282","IPC","Conveying person by water for hire in unsafe or overloaded vessel-"
"317","283","IPC","Danger or obstruction in public way or line of navigation"
"318","284","IPC","Negligent conduct with respect to poisonous substance"
"319","285","IPC","Negligent conduct with respect to fire or combustible matter"
"320","286","IPC","Negligent conduct with respect to explosive substance"
"321","287","IPC","Negligent conduct with respect to machinery"
"322","288","IPC","Negligent conduct with respect to pulling down or repairing buildings"
"323","289","IPC","Negligent conduct with respect to animal"
"324","290","IPC","Punishment for public nuisance in cases not otherwise provided for"
"325","291","IPC","Continuance of nuisance after injunction to discontinue"
"326","292","IPC","Sale, etc., of obscene books, etc. _"
"327","292A","IPC","Printing, etc., of grossly indecent or scurrilous matter or matter intended for blackmail"
"328","293","IPC","Sale, etc., of obscene objects to young person"
"329","294","IPC","Obscene acts and songs"
"330","294A ","IPC","Keeping lottery office"
"331","295","IPC","Injuring or defiling place of worship with intent to insult the religion of any class"
"332","295A ","IPC","Deliberate and malicious acts, intended to outrage religious feelings of any class by insulting its religion or religious beliefs"
"333","296","IPC","Disturbing religious assembly"
"334","297","IPC","Trespassing on burial places, etc"
"335","298","IPC","Uttering, words, etc., with deliberate intent to wound the religious feelings of any person-"
"336","299","IPC","Culpable homicide"
"337","300","IPC","Murder"
"338","301","IPC","Culpable homicide by causing death of person other than person whose death was intended"
"339","302","IPC","Punishment for murder"
"340","303","IPC","Punishment for murder by life-convict"
"341","304","IPC","Punishment for culpable homicide not amounting to murder"
"342","304A ","IPC","Causing death by negligence"
"343","304B ","IPC","Dowry death"
"344","305","IPC","Abetment of suicide of child or insane person"
"345","306","IPC","Abetment of suicide"
"346","307","IPC","Attempt to murder"
"347","308","IPC","Attempt to commit culpable homicide"
"348","309","IPC","Attempt to commit suicide"
"349","310","IPC","Thug"
"350","311","IPC","Punishment"
"351","312","IPC","Causing miscarriage"
"352","313","IPC","Causing miscarriage without woman's consent"
"353","314","IPC","Death caused by act done with intent to cause miscarriage"
"354","315","IPC","Act done with intent to prevent child being born alive or to cause it to die after birth"
"355","316","IPC","Causing death of quick unborn child by act amounting to culpable homicide"
"356","317","IPC","Exposure and abandonment of child under twelve years, by parent or person having care of it"
"357","318","IPC","Concealment of birth by secret disposal of dead body"
"358","319","IPC","Hurt"
"359","320","IPC","Grievous hurt"
"360","321","IPC","Voluntarily causing hurt"
"361","322","IPC","Voluntarily causing grievous hurt"
"362","323","IPC","Punishment for voluntarily causing hurt"
"363","324","IPC","Voluntarily causing hurt by dangerous weapons or means"
"364","325","IPC","Punishment for voluntarily causing grievous hurt"
"365","326","IPC","Voluntarily causing grievous hurt by dangerous weapons or means -"
"366","326A ","IPC",""
"367","326B ","IPC",""
"368","327","IPC","Voluntarily causing hurt to extort property, or to constrain to an illegal act"
"369","328","IPC","Causing hurt by means of poison, etc. with intent to commit an offence"
"370","329","IPC","Voluntarily causing grievous hurt to extort property, or to constrain to an illegal act  "
"371","330","IPC","Voluntarily causing hurt to extort confession, or to compel restoration of property"
"372","331","IPC","Voluntarily causing grievous hurt to extort confession, or to compel restoration of property"
"373","332","IPC","Voluntarily causing hurt to deter public servant from his duty"
"374","333","IPC","Voluntarily causing grievous hurt to deter public servant from his duty"
"375","334","IPC","Voluntarily causing hurt on provocation"
"376","335","IPC","Voluntarily causing grievous hurt on provocation"
"377","336","IPC","Act endangering life or personal safety of others"
"378","337","IPC","Causing hurt by act endangering life or personal safety of others"
"379","338","IPC","Causing grievous hurt by act endangering life or personal safety of others"
"380","339","IPC","Wrongful restraint"
"381","340","IPC","Wrongful confinement"
"382","341","IPC","Punishment for wrongful restraint"
"383","342","IPC","Punishment for wrongful confinement"
"384","343","IPC","Wrongful confinement for three or more days"
"385","344","IPC","Wrongful confinement for ten or more days"
"386","345","IPC","Wrongful confinement of person for whose liberation writ has been issued"
"387","346","IPC","Wrongful confinement in secret"
"388","347","IPC","Wrongful confinement to extort property, or constrain to illegal act"
"389","348","IPC","Wrongful confinement to extort confession, or compel restoration of property"
"390","349","IPC","Force"
"391","350","IPC","Criminal force"
"392","351","IPC","Assault"
"393","352","IPC","Punishment for assault or criminal force otherwise than on grave provocation"
"394","353","IPC","Assault or criminal force to deter public servant from discharge of his duty"
"395","354","IPC","Assault or criminal force to woman with intent to outrage her modesty."
"396","354A ","IPC",""
"397","354B ","IPC",""
"398","354C ","IPC",""
"399","354D ","IPC",""
"400","355","IPC","Assault or criminal force with intent to dishonor person, otherwise than on grave provocation"
"401","356","IPC","Assault or criminal force in attempt to commit theft of property carried by a person"
"402","357","IPC","Assault or criminal force in attempt wrongfully to confine a person"
"403","358","IPC","Assault or criminal force on grave provocation"
"404","359","IPC","Kidnapping"
"405","360","IPC","Kidnapping from India"
"406","361","IPC","Kidnapping from lawful guardianship"
"407","362","IPC","Abduction"
"408","363","IPC","Punishment for kidnapping"
"409","363A ","IPC","Kidnapping or maiming a minor for purposes of begging"
"410","364","IPC","Kidnapping or abducting in order to murder"
"411","364A ","IPC","Kidnapping for ransom, etc"
"412","365","IPC","Kidnapping or abducting with intent secretly and wrongfully to confine person"
"413","366","IPC","Kidnapping, abducting or inducing woman to compel her marriage,  etc"
"414","366A ","IPC","Procuration of minor girl"
"415","366B ","IPC","Importation of girl from foreign country"
"416","367","IPC","Kidnapping or abducting in order to subject person to grievous hurt, slavery, etc"
"417","368","IPC","Wrongfully concealing or keeping in confinement, kidnapped or abducted person"
"418","369","IPC","Kidnapping or abducting child under ten years with intent to steal from its person"
"419","370","IPC","Buying or disposing of any person as a slave"
"420","370A ","IPC","Habitual dealing in slaves"
"421","371","IPC","Selling minor for purposes of prostitution, etc"
"422","372","IPC","Buying minor for purposes of prostitution, etc"
"423","373","IPC","Unlawful compulsory labor"
"424","374","IPC","Rape"
"425","375","IPC","Punishment for rape"
"426","376","IPC","Intercourse by a man with his wife during separation"
"427","376A ","IPC","Intercourse by public servant with woman in his custody"
"428","376AB ","IPC","Intercourse by superintendent of jail, remand home, etc"
"429","376B ","IPC","Intercourse by any member of the management or staff of a hospital with any woman in that hospital"
"430","376C ","IPC","Unnatural offences"
"431","376D ","IPC",""
"432","376DA ","IPC",""
"433","376DB ","IPC",""
"434","376E ","IPC",""
"435","377","IPC",""
"436","378","IPC","Theft"
"437","379","IPC","Punishment for theft"
"438","380","IPC","Theft in dwelling house, etc"
"439","381","IPC","Theft by clerk or servant of property in possession of master"
"440","382","IPC","Theft after preparation made for causing death, hurt or restraint in order to the committing of the theft"
"441","383","IPC","Extortion"
"442","384","IPC","Punishment for extortion"
"443","385","IPC","Putting person in fear of injury in order to commit extortion"
"444","386","IPC","Extortion by putting a person in fear of death or grievous hurt to"
"445","387","IPC","Putting person in fear of death or of grievous hurt, in order to commit extortion"
"446","388","IPC","Extortion by threat of accusation of an offence punishable with death or imprisonment for life, etc"
"447","389","IPC","Putting person in fear of accusation of offence, in order to commit extortion"
"448","390","IPC","Robbery"
"449","391","IPC","Dacoity"
"450","392","IPC","Punishment for robbery"
"451","393","IPC","Attempt to commit robbery"
"452","394","IPC","Voluntarily causing hurt in committing robbery"
"453","395","IPC","Punishment for dacoity"
"454","396","IPC","Dacoity with murder"
"455","397","IPC","Robbery, or dacoity, with attempt to cause death or grievous hurt"
"456","398","IPC","Attempt to commit robbery or dacoity when armed with deadly weapon"
"457","399","IPC","Making preparation to commit dacoity"
"458","400","IPC","Punishment for belonging to gang of dacoits"
"459","401","IPC","Punishment for belonging to gang of thieves"
"460","402","IPC","Assembling for purpose of committing dacoity"
"461","403","IPC","Dishonest misappropriation of property"
"462","404","IPC","Dishonest misappropriation of property possessed by deceased person at the time of his death"
"463","405","IPC","Criminal breach of trust"
"464","406","IPC","Punishment for criminal breach of trust"
"465","407","IPC","Criminal breach of trust by carrier, etc"
"466","408","IPC","Criminal breach of trust by clerk or servant"
"467","409","IPC","Criminal breach of trust by public servant, or by banker, merchant or agent"
"468","410","IPC","Stolen Property"
"469","411","IPC","Dishonestly receiving stolen property"
"470","412","IPC","Dishonestly receiving property stolen in the commission of a dacoity"
"471","413","IPC","Habitually dealing in stolen property"
"472","414","IPC","Assisting in concealment of stolen property"
"473","415","IPC","Cheating"
"474","416","IPC","Cheating by personation"
"475","417","IPC","Punishment for cheating"
"476","418","IPC","Cheating with knowledge that wrongful loss may ensue to person whose interest offender is bound to protect"
"477","419","IPC","Punishment for cheating by personation"
"478","420","IPC","Cheating and dishonestly inducing delivery of property"
"479","421","IPC","Dishonest or fraudulent removal or concealment of property to prevent distribution among creditors"
"480","422","IPC","Dishonestly or fraudulently preventing debt being available for creditors-."
"481","423","IPC","Dishonest or fraudulent execution of deed of transfer containing false statement of consideration"
"482","424","IPC","Dishonest or fraudulent removal or concealment of property"
"483","425","IPC","Mischief"
"484","426","IPC","Punishment for mischief-"
"485","427","IPC","Mischief causing damage to the amount of fifty rupees"
"486","428","IPC","Mischief by killing or maiming animal of the value of ten rupees."
"487","429","IPC","Mischief by killing or maiming cattle, etc., of any value or any animal of the value of fifty rupees"
"488","430","IPC","Mischief by injury to works of irrigation or by wrongfully diverting water"
"489","431","IPC","Mischief by injury to public road, bridge, river or channel"
"490","432","IPC","Mischief by causing inundation or obstruction to public drainage attended with damage"
"491","433","IPC","Mischief by destroying, moving or rendering less useful a light-house or sea-mark"
"492","434","IPC","Mischief by destroying or moving, etc., a land-mark fixed by public authority"
"493","435","IPC","Mischief by fire or explosive substance with intent to cause damage to amount of one hundred or (in case of agricultural produce) ten rupees"
"494","436","IPC","Mischief by fire or explosive substance with intent to destroy house, etc"
"495","437","IPC","Mischief with intent to destroy or make unsafe a decked vessel or one of twenty tons burden"
"496","438","IPC","Punishment for the mischief described in section 437 committed by fire or explosive substance"
